"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
1,"Tesla Model 3","Available to order since September 2023","D",5,"420 km","137 Wh/km","1.836 kg","6,1 sec","500 km","57,5 kWh","108 kW","1.000 kg","682 L","€101 /km","€40,970","€39,990","£39,990","https://ev-database.org/car/1991/Tesla-Model-3","https://ev-database.org/img/auto/Tesla_Model_3_2024/Tesla_Model_3_2024-01-thumb.jpg"
2,"Kia EV3 Long Range","Available to order since July 2024","B",5,"455 km","171 Wh/km","1.885 kg","7,7 sec","472 km","78,0 kWh","105 kW","1.000 kg","485 L","€91 /km","€41,390","€41,495","£35,995","https://ev-database.org/car/2212/Kia-EV3-Long-Range","https://ev-database.org/img/auto/Kia_EV3_2025/Kia_EV3_2025-01-thumb.jpg"
3,"BYD ATTO 3","Available to order since August 2022","C",5,"330 km","183 Wh/km","1.825 kg","7,3 sec","325 km","60,5 kWh","71 kW","0 kg","440 L","€122 /km","€37,990","€39,690","£37,195","https://ev-database.org/car/1782/BYD-ATTO-3","https://ev-database.org/img/auto/BYD_ATTO_3/BYD_ATTO_3-01-thumb.jpg"
4,"Tesla Model Y RWD","Available to order since February 2025","D",5,"350 km","164 Wh/km","2.003 kg","5,9 sec","434 km","57,5 kWh","140 kW","1.600 kg","971 L","€137 /km","€45,970","€45,990","£44,990","https://ev-database.org/car/3103/Tesla-Model-Y-RWD","https://ev-database.org/img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg"
5,"Tesla Model Y","Discontinued (November 2022 - January 2025)","D",5,"350 km","164 Wh/km","1.984 kg","6,9 sec","407 km","57,5 kWh","108 kW","1.600 kg","971 L","€137 /km","€45,970","€45,990","£44,990","https://ev-database.org/car/1743/Tesla-Model-Y","https://ev-database.org/img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb.jpg"
6,"Tesla Model Y Long Range Dual Motor","Discontinued (February 2022 - February 2025)","D",7,"445 km","169 Wh/km","2.054 kg","5,0 sec","524 km","75,0 kWh","124 kW","1.600 kg","971 L","€126 /km","€55,970","€52,990","£51,990","https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb.jpg"
7,"Tesla Model 3 Long Range Dual Motor","Available to order since September 2023","D",5,"525 km","143 Wh/km","1.899 kg","4,4 sec","629 km","75,0 kWh","124 kW","1.000 kg","682 L","€101 /km","€49,990","€50,990","£49,990","https://ev-database.org/car/1992/Tesla-Model-3-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_3_2024/Tesla_Model_3_2024-01-thumb.jpg"
8,"Tesla Model 3 Long Range RWD","Available to order since October 2024","D",5,"545 km","138 Wh/km","1.825 kg","5,2 sec","653 km","75,0 kWh","124 kW","1.000 kg","682 L","€87 /km","€44,990","€45,990","£44,990","https://ev-database.org/car/3034/Tesla-Model-3-Long-Range-RWD","https://ev-database.org/img/auto/Tesla_Model_3_2024/Tesla_Model_3_2024-01-thumb.jpg"
9,"MG MG4 Electric 64 kWh","Available to order since October 2022","C",5,"360 km","171 Wh/km","1.726 kg","7,9 sec","405 km","61,7 kWh","115 kW","500 kg","363 L","€102 /km","€39,990","€35,785","£29,495","https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh","https://ev-database.org/img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb.jpg"
10,"Tesla Model 3 Long Range Dual Motor","Discontinued (February 2019 - October 2020)","D",5,"455 km","162 Wh/km","1.931 kg","4,6 sec","560 km","73,5 kWh","163 kW","1.000 kg","542 L","€124 /km","€55,480","€59,995","£46,990","https://ev-database.org/car/1138/Tesla-Model-3-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_3/Tesla_Model_3-01-thumb.jpg"
11,"BMW iX xDrive40","Discontinued (October 2021 - January 2025)","E",5,"360 km","197 Wh/km","2.440 kg","6,1 sec","388 km","71,0 kWh","102 kW","2.500 kg","500 L","€225 /km","€77,300","€84,998","£69,905","https://ev-database.org/car/1472/BMW-iX-xDrive40","https://ev-database.org/img/auto/BMW_iX_2022/BMW_iX_2022-01-thumb.jpg"
12,"BYD DOLPHIN 60.4 kWh","Available to order since July 2023","C",5,"350 km","173 Wh/km","1.733 kg","7,0 sec","338 km","60,5 kWh","65 kW","0 kg","345 L","€100 /km","€32,990","€36,990","£30,195","https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh","https://ev-database.org/img/auto/BYD_DOLPHIN/BYD_DOLPHIN-01-thumb.jpg"
13,"Tesla Model 3","Discontinued (December 2021 - October 2023)","D",5,"405 km","142 Wh/km","1.835 kg","6,1 sec","471 km","57,5 kWh","100 kW","1.000 kg","649 L","€113 /km","€44,668","€42,993","£42,990","https://ev-database.org/car/1555/Tesla-Model-3","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
14,"Tesla Model Y Long Range RWD","Available to order since February 2025","D",5,"460 km","163 Wh/km","1.973 kg","5,6 sec","540 km","75,0 kWh","124 kW","1.600 kg","971 L","€114 /km","€49,990","€50,990","£48,990","https://ev-database.org/car/3120/Tesla-Model-Y-Long-Range-RWD","https://ev-database.org/img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg"
